restaurant_name,location,cuisine,estimated_cost,rating
Chetty's Coffee,Indiranagar,South Indian,150.0,3.9
Sreeraj Lassi Bar,Commercial Street,Beverages,150.0,3.9
Soup Station,Domlur,"Healthy Food, Sandwich, Salad",150.0,3.9
Sendhoor Coffee,Indiranagar,"Coffee, Street Food",150.0,3.9
Om Sai Skanda Dosa Camp,Indiranagar,South Indian,150.0,3.9
The Punjabi Bites,Old Airport Road,North Indian,150.0,3.9
Vijayalakshmi Veg,Nagawara,South Indian,150.0,3.9
Surya Refreshments,Malleshwaram,South Indian,150.0,3.9
Froststicks,Malleshwaram,"Desserts, Ice Cream",150.0,3.9
Bombay Kulfi,Marathahalli,"Desserts, Ice Cream",150.0,3.9
Udupi Ruchi,Banashankari,"South Indian, North Indian, Chinese, Street Food",200.0,3.9
Gama Gama,Banashankari,South Indian,200.0,3.9
Millet Mama,Basavanagudi,"South Indian, Healthy Food",200.0,3.9
Chinese Square,Basavanagudi,Chinese,200.0,3.9
Kullad Cafe,Btm,"North Indian, Cafe, Fast Food, Beverages",200.0,3.9
Chaatimes,Jp Nagar,"Street Food, Fast Food",200.0,3.9
Garden Fresh,Btm,"Healthy Food, Juices",200.0,3.9
Sree Krishna Kafe,Jp Nagar,South Indian,200.0,3.9
Ishta Cafe,Bannerghatta Road,"Pizza, South Indian, Healthy Food",200.0,3.9
Tiwari's,Bannerghatta Road,"North Indian, Street Food",200.0,3.9
Pani Kum Chai,Jayanagar,Fast Food,200.0,3.9
Sandwichwallas,Jayanagar,Fast Food,200.0,3.9
Vakulaa Veg Restaurant,Jayanagar,"South Indian, North Indian",200.0,3.9
Bhavani Chats N Juice,Jayanagar,"Beverages, Street Food",200.0,3.9
Bakers Day,Basavanagudi,"Bakery, Desserts",200.0,3.9
Mishra's Pedha Big Foods,Jayanagar,"Desserts, Mithai",200.0,3.9
Kulfreeze,Jayanagar,"Ice Cream, Desserts",200.0,3.9
Chaatimes,Basavanagudi,"Street Food, Fast Food",200.0,3.9
Kesar Rajasthani Parotha Point,Basavanagudi,"North Indian, Rajasthani",200.0,3.9
Imperio Cafe,Whitefield,"Cafe, Fast Food, Pizza, Burger, Beverages",200.0,3.9
Kairali Restaurant,Bellandur,Kerala,200.0,3.9
Atithi Sambrama,Sarjapur Road,"South Indian, North Indian, Chinese",200.0,3.9
KC Das,Mg Road,"Mithai, Street Food",200.0,3.9
Vijayalakshmi Veg,Frazer Town,South Indian,200.0,3.9
MiniMelts,Brigade Road,"Ice Cream, Desserts",200.0,3.9
Hotel Ajantha,Mg Road,South Indian,200.0,3.9
Bombay Kulfis,Koramangala 5Th Block,Ice Cream,200.0,3.9
Gelato Italiano,Koramangala 5Th Block,"Ice Cream, Bakery, Desserts",200.0,3.9
Juicy,Koramangala 5Th Block,"Beverages, Juices, Fast Food",200.0,3.9
Mother's Food,Whitefield,"North Indian, Chinese",200.0,3.9
Vijayalakshmi Veg,Jayanagar,South Indian,200.0,3.9
Sangam Sweets,Hsr,"Mithai, Street Food",200.0,3.9
Lassi Shop,Btm,"Beverages, Ice Cream",200.0,3.9
Hatti Kaapi,Koramangala 5Th Block,"South Indian, Beverages",200.0,3.9
Sri Devi Baker's,Btm,"Bakery, Street Food",200.0,3.9
Banchharam,Koramangala 7Th Block,"Street Food, Mithai",200.0,3.9
Lassi Shop,Church Street,"Beverages, Ice Cream",200.0,3.9
Hatti Kaapi,Brigade Road,"South Indian, Beverages",200.0,3.9
Juicy,Electronic City,"Beverages, Juices, Fast Food",200.0,3.9
Sanjeevini Veg,Electronic City,South Indian,200.0,3.9
Shahi Kabab,Frazer Town,Rolls,200.0,3.9
Lassi Shop,Bellandur,"Beverages, Ice Cream",200.0,3.9
Soup Station,Koramangala 4Th Block,"Healthy Food, Sandwich, Salad",200.0,3.9
Chai Cafe,Indiranagar,Cafe,200.0,3.9
Bharpur Aahar,Jeevan Bhima Nagar,"North Indian, Chinese",200.0,3.9
Gooey & Fluffy,Thippasandra,"Desserts, Bakery",200.0,3.9
La Madeleine Patisserie,Indiranagar,Bakery,200.0,3.9
Banchharam,Ulsoor,"Street Food, Mithai",200.0,3.9
Lassi Shop,Jp Nagar,"Beverages, Ice Cream",200.0,3.9
Havmor,Basavanagudi,"Ice Cream, Desserts",200.0,3.9
Pabrai's Fresh & Naturelle Icecreams,Koramangala 5Th Block,"Ice Cream, Desserts",200.0,3.9
Delicious Momos,Kalyan Nagar,"Street Food, Momos",200.0,3.9
Falahaar,Koramangala 6Th Block,"North Indian, Street Food",200.0,3.9
Momo Blues,Koramangala 5Th Block,"Chinese, Momos, Nepalese, Tibetan",200.0,3.9
Mountain Spice,Koramangala 8Th Block,Chinese,200.0,3.9
Quickie's,Seshadripuram,"Fast Food, Rolls",200.0,3.9
Tea Samskruthi,Malleshwaram,Cafe,200.0,3.9
Chaatimes,Malleshwaram,"Street Food, Fast Food",200.0,3.9
Lassi Shop,Rajajinagar,"Beverages, Ice Cream",200.0,3.9
Antarastriya,Malleshwaram,"Chinese, Fast Food, Momos",200.0,3.9
Absolute Waffles,New Bel Road,"Desserts, Fast Food",200.0,3.9
Hari Super Sandwich,Malleshwaram,"Fast Food, Street Food",200.0,3.9
Hotel Ayodhya Upahar,Sadashiv Nagar,"South Indian, Chinese",200.0,3.9
CakeZone,"Varthur Main Road, Whitefield","Bakery, Desserts",200.0,3.9
Snack House,Indiranagar,"Fast Food, Momos",200.0,3.9
Chatora Singh,Old Airport Road,"North Indian, Fast Food",200.0,3.9
Tumbites,Bellandur,North Indian,200.0,3.9
Lassi Shop,Whitefield,"Beverages, Ice Cream",200.0,3.9
Desi Chats,Whitefield,Street Food,200.0,3.9
Hotel Mangala,Banashankari,South Indian,250.0,3.9
Vegetarea,Btm,South Indian,250.0,3.9
Kalingas,Btm,"Oriya, Fast Food",250.0,3.9
Fish Chain,Jp Nagar,"Seafood, Bbq, Biryani",250.0,3.9
Pathaan Sir,Btm,"Fast Food, Rolls, Momos",250.0,3.9
Punjabi Corner,Bannerghatta Road,"North Indian, Chinese",250.0,3.9
Asha Sweets Centre,Jp Nagar,Fast Food,250.0,3.9
Baskin Robbins,Jp Nagar,Ice Cream,250.0,3.9
Desi Vdesi,Shanti Nagar,"Fast Food, North Indian, Rolls",250.0,3.9
Parathe Wali Gali,Wilson Garden,North Indian,250.0,3.9
NV Naidu Hotel,City Market,Biryani,250.0,3.9
Chai Point,Bellandur,"Tea, Beverages, Fast Food",250.0,3.9
Munchies,Brigade Road,"Fast Food, Bakery",250.0,3.9
Desi Bites,Marathahalli,North Indian,250.0,3.9
Ramdev Sagar,Brookefield,"South Indian, Chinese, Street Food",250.0,3.9
New Udupi Delicacy,Whitefield,"South Indian, North Indian, Chinese",250.0,3.9
Baskin Robbins,Brookefield,"Ice Cream, Desserts",250.0,3.9
Luscious Folks,Marathahalli,North Indian,250.0,3.9
Mojo Bites,Whitefield,Fast Food,250.0,3.9
Chai Point,Brookefield,"Tea, Beverages, Fast Food",250.0,3.9
Hatti Punjab Di,Koramangala 1St Block,"North Indian, Chinese",250.0,3.9
Snakk That,Hsr,"Burger, Beverages, Fast Food",250.0,3.9
The Sandwich Club,Hsr,Fast Food,250.0,3.9
Desi Vdesi,Church Street,"Fast Food, North Indian, Rolls",250.0,3.9
Delhi Base Sri Food Court,Electronic City,"North Indian, South Indian, Chinese, Street Food",250.0,3.9
Chai Point,Electronic City,"Tea, Beverages, Fast Food",250.0,3.9
Donut Cafe,Electronic City,"Desserts, Fast Food",250.0,3.9
Uma Ki Rasoi,Electronic City,North Indian,250.0,3.9
Chaai Resto,Hsr,"Tea, Beverages, Fast Food",250.0,3.9
Bun Maska Chai,Jeevan Bhima Nagar,"Street Food, Fast Food",250.0,3.9
Ramji Chaiwale,Old Airport Road,"Beverages, Fast Food",250.0,3.9
Spicy Corner,Jeevan Bhima Nagar,"Street Food, Fast Food",250.0,3.9
Ande Ka Funda,Banashankari,"North Indian, Fast Food, Rolls",250.0,3.9
The Paratha Stories,Jp Nagar,North Indian,250.0,3.9
Despiwich Dragon's Kitchen,Banaswadi,"Chinese, Fast Food",250.0,3.9
29 Degrees North,Banaswadi,"North Indian, Fast Food, Street Food",250.0,3.9
Paratha Plaza,Koramangala 4Th Block,North Indian,250.0,3.9
Paratha Plaza,Koramangala 5Th Block,North Indian,250.0,3.9
Hotel Janatha,Wilson Garden,South Indian,250.0,3.9
Chai Point,Mg Road,"Tea, Fast Food, Beverages, Sandwich",250.0,3.9
Rishi's Paratha Plaza,Sanjay Nagar,North Indian,250.0,3.9
Frozen Coast,Malleshwaram,"Desserts, Ice Cream",250.0,3.9
Bun World,Malleshwaram,"Bakery, Fast Food",250.0,3.9
Brahmin's Coffee Bar,Malleshwaram,South Indian,250.0,3.9
Aastha Bengali Mess,Yeshwantpur,"Chinese, Bengali",250.0,3.9
Gowdru Hotel,Vijay Nagar,"Biryani, South Indian",250.0,3.9
Savji's Roll 'N' Biryani,Vijay Nagar,"North Indian, Chinese, Biryani, Rolls",250.0,3.9
Cream & Fudge,Whitefield,"Ice Cream, Desserts",250.0,3.9
T3H Cafe,Banashankari,"Cafe, Italian, American",300.0,3.9
Havyaka Mess,Banashankari,South Indian,300.0,3.9
Just Shawarma,Kumaraswamy Layout,Arabian,300.0,3.9
Kamat Bugle Rock,Basavanagudi,"South Indian, Fast Food",300.0,3.9
Cafe Zone,Kumaraswamy Layout,"Fast Food, Chinese, Rolls",300.0,3.9
Cross Road Cafe,Jayanagar,"Cafe, Fast Food, Chinese",300.0,3.9
Bhavani Restaurant,Basavanagudi,"South Indian, North Indian, Chinese",300.0,3.9
Om Shiva Shakthi Chats Centre,Basavanagudi,"Street Food, Fast Food",300.0,3.9
Five Star Chicken,Jp Nagar,"Burger, Fast Food, Roast Chicken, Finger Food",300.0,3.9
Polar Bear,Btm,"Desserts, Ice Cream",300.0,3.9
Aramane Donne Biriyani,Btm,"Biryani, Fast Food",300.0,3.9
SGS Non Veg - Gundu Pulav,Bannerghatta Road,"Biryani, South Indian",300.0,3.9
Bikaner Jn,Jp Nagar,Rajasthani,300.0,3.9
Kalpavruksha,Bannerghatta Road,"South Indian, North Indian",300.0,3.9
Juice Land,Bannerghatta Road,"Juices, Beverages",300.0,3.9
Vyanjan,Btm,"North Indian, Street Food",300.0,3.9
Chaitanya Cafe,Jp Nagar,"South Indian, North Indian, Fast Food",300.0,3.9
Rajvardhan Foods,Jayanagar,"Street Food, Maharashtrian",300.0,3.9
New Punjabi Dhaba,Hsr,"North Indian, Chinese",300.0,3.9
Bihar Ki Shan,Hsr,North Indian,300.0,3.9
Just Shawarma,Hsr,Arabian,300.0,3.9
Makers of Milkshakes,Hsr,Beverages,300.0,3.9
Atithi Aramane Veg,Bellandur,"South Indian, North Indian, Chinese",300.0,3.9
Payohima Ice Creams,Sarjapur Road,Desserts,300.0,3.9
Cupcake Noggins,Sarjapur Road,"Desserts, Bakery",300.0,3.9
Kerala Pavilion,Domlur,"Kerala, South Indian, Seafood, Biryani",300.0,3.9
Handi Biryani,Marathahalli,"Hyderabadi, Biryani",300.0,3.9
Kerala Tiffin,Whitefield,Kerala,300.0,3.9
The Early bell,Whitefield,"North Indian, Chinese",300.0,3.9
Waffle Square,Marathahalli,"Desserts, Beverages, Ice Cream",300.0,3.9
Delhi Walle,Marathahalli,"North Indian, Street Food",300.0,3.9
Litti House,Brookefield,"North Indian, Bihari, Rajasthani",300.0,3.9
Momo Mania,Brookefield,"Momos, Fast Food",300.0,3.9
Rafoo Chakkar,Whitefield,"North Indian, Rolls",300.0,3.9
Krishna Sagar,Btm,"South Indian, North Indian, Chinese",300.0,3.9
Sri Krishna Sagar,Koramangala 6Th Block,South Indian,300.0,3.9
The Rasaganga,Hsr,"South Indian, North Indian, Chinese, Street Food",300.0,3.9
Delite Chaat House,Koramangala 6Th Block,"Street Food, Gujarati",300.0,3.9
Kairali,Btm,"Kerala, South Indian, Seafood, Biryani",300.0,3.9
Chapati House,Ejipura,North Indian,300.0,3.9
Fillers,Btm,"North Indian, Fast Food",300.0,3.9
House Stark Cafe,Hsr,"Cafe, Desserts, Fast Food, Burger",300.0,3.9
Kinpeetos,Koramangala 5Th Block,"Lebanese, Greek",300.0,3.9
The Waffle Street,Hsr,"Continental, Beverages, Burger, Coffee, Desserts",300.0,3.9
Chef All Nite,Btm,"Chinese, North Indian",300.0,3.9
Just Shawarma,Btm,Arabian,300.0,3.9
Painted Platters,Ulsoor,"Bakery, Desserts",300.0,3.9
Just Shawarma,Electronic City,Arabian,300.0,3.9
Sankalp Reddy Restaurant,Electronic City,"South Indian, Andhra, Biryani",300.0,3.9
Upahara Mandira,Hbr Layout,"South Indian, North Indian, Chinese",300.0,3.9
Ice Cream Works,Indiranagar,"Ice Cream, Ice Cream",300.0,3.9
Saahib,Hsr,"Fast Food, Rolls",300.0,3.9
Chaat Trail By Moti Mahal,Hsr,"Street Food, Beverages, South Indian, North Indian, Ice Cream, Mithai, Rajasthani",300.0,3.9
Krispy Kreme,Hsr,"Desserts, Beverages",300.0,3.9
Pappu Chaiwalla,Hsr,"Fast Food, Tea, Beverages",300.0,3.9
Chowpatty,Indiranagar,"North Indian, Fast Food, Street Food",300.0,3.9
Tiffun,Cv Raman Nagar,North Indian,300.0,3.9
Roll Er Dokaan,Jeevan Bhima Nagar,"Street Food, Rolls",300.0,3.9
All Shook Up!,Domlur,"Desserts, Beverages",300.0,3.9
Cake Genie,Indiranagar,"Desserts, Fast Food",300.0,3.9
Namdhari's Salad Bar,Indiranagar,"Juices, Fast Food, Desserts, Salad",300.0,3.9
Starlite Bakery & Fastfood,Jayanagar,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",300.0,3.9
Krispy Kreme,Kalyan Nagar,"Desserts, Beverages",300.0,3.9
Srinidhi Veg Food Court,Kalyan Nagar,"Chinese, North Indian, South Indian",300.0,3.9
Doctor Juice,Kammanahalli,"Juices, Healthy Food",300.0,3.9
Ibaco,Nagawara,Desserts,300.0,3.9
The Juice Shop - Juicery And Kitchen,Kalyan Nagar,"Beverages, Fast Food, Bakery",300.0,3.9
Le Roll Cafe,Kammanahalli,"Fast Food, Beverages, Rolls",300.0,3.9
Ibaco,Kalyan Nagar,Desserts,300.0,3.9
Easy Bites,Hsr,"Fast Food, Sandwich",300.0,3.9
RB Food Point,Btm,"North Indian, Chinese",300.0,3.9
Garage Food Company,Hsr,"Chinese, Momos",300.0,3.9
Begin with us....Tea Time Cafe,Koramangala 7Th Block,"Beverages, Tea",300.0,3.9
Bathinda Tandoor,Btm,North Indian,300.0,3.9
Choi Choi Momos,Brigade Road,"Chinese, Fast Food, Momos",300.0,3.9
Prakriti Delux,Rajajinagar,"North Indian, South Indian, Chinese",300.0,3.9
Waffle Stories,Malleshwaram,Desserts,300.0,3.9
The Big Bellyz,Malleshwaram,"Fast Food, Beverages, Momos",300.0,3.9
Maiyas,Malleshwaram,"South Indian, North Indian, Chinese, Bakery, Desserts",300.0,3.9
LV Venkateshwara Jolada Rotti Oota,Malleshwaram,South Indian,300.0,3.9
Falafel's - The Lebanese Haus,Malleshwaram,Lebanese,300.0,3.9
Priyadarshini Veg,Yeshwantpur,"North Indian, South Indian, Chinese",300.0,3.9
Kolkata Biriyani,Marathahalli,"Biryani, Bengali",300.0,3.9
Laziz,Marathahalli,"North Indian, Chinese",300.0,3.9
Ooty Chocolates,Indiranagar,Desserts,300.0,3.9
Wok Chow,Sanjay Nagar,"Chinese, Thai, Momos",300.0,3.9
Shri Udupi Cafe,New Bel Road,"South Indian, North Indian, Mughlai, Chinese, Street Food, Beverages",300.0,3.9
Shanthi Sagar,New Bel Road,"South Indian, Chinese, North Indian",300.0,3.9
Ibaco,New Bel Road,Desserts,300.0,3.9
Cubbonpete Donne Biryani,Sahakara Nagar,"South Indian, Biryani",300.0,3.9
Bengal Sweets,Jalahalli,"Mithai, Street Food",300.0,3.9
Sultan Rolls & Sandwiches,New Bel Road,"Fast Food, Rolls",300.0,3.9
Udupi Ruchi,Rajajinagar,"South Indian, Chinese, North Indian, Desserts, Continental",300.0,3.9
Sri Maruthi Miltry Hotel,Rajajinagar,South Indian,300.0,3.9
Sri Maruthi Hotel,Basaveshwara Nagar,South Indian,300.0,3.9
Venkataramana Nellore Mess,Hsr,"Andhra, South Indian",300.0,3.9
KA53,Whitefield,"North Indian, Chinese",300.0,3.9
Sri Udupi Park,Whitefield,"South Indian, North Indian, Chinese, Beverages",300.0,3.9
Lord Of The Kitchen,Kumaraswamy Layout,"North Indian, Chinese",350.0,3.9
Bharjari Oota,Basavanagudi,South Indian,350.0,3.9
Kalmane Koffees,Bannerghatta Road,Cafe,350.0,3.9
Cakebuy,Bannerghatta Road,Desserts,350.0,3.9
Encyclofoodia,Bannerghatta Road,"Kerala, North Indian",350.0,3.9
Food And You,Btm,"North Indian, South Indian, Gujarati",350.0,3.9
Khan Saheb Grills and Rolls,Jayanagar,"Fast Food, Rolls",350.0,3.9
Hokey Pokey Ice Creams,Sarjapur Road,"Ice Cream, Desserts",350.0,3.9
Cita Pani,Indiranagar,"Biryani, North Indian, Arabian",350.0,3.9
New Paratha Corner,Whitefield,North Indian,350.0,3.9
Mayura Grand,Brookefield,"North Indian, South Indian, Chinese",350.0,3.9
The Hidden Cafe,Koramangala 1St Block,"North Indian, Fast Food",350.0,3.9
The Wicked Cup,Hsr,"Cafe, Sandwich, Fast Food, Beverages, Desserts",350.0,3.9
Mandya Gowdru Donne Biriyani,Hsr,"Biryani, South Indian",350.0,3.9
Cariocake,Jp Nagar,"Bakery, Desserts",350.0,3.9
Chaai Resto,Kalyan Nagar,"Cafe, Fast Food, Beverages",350.0,3.9
Creme Bliss,Hbr Layout,"Bakery, Desserts",350.0,3.9
Hotel Prashanth,Rajajinagar,North Indian,350.0,3.9
Cheta's Kitchen,Yelahanka,"Kerala, South Indian, Seafood",350.0,3.9
Sri Krishna Bhavan Sweets,Sanjay Nagar,"Mithai, Street Food",350.0,3.9
Papanna's Biriyani,Basaveshwara Nagar,"Biryani, South Indian",350.0,3.9
Kalmane Koffees,Whitefield,Cafe,350.0,3.9
NISO Chinese Restaurant,Kr Puram,"Chinese, Momos",350.0,3.9
Biting Junction,Whitefield,"Chinese, North Indian, Rajasthani, Gujarati, Fast Food, Afghan",350.0,3.9
Annapurna Bengali Restaurant,Whitefield,Bengali,350.0,3.9
Donne Biriyani House,Banashankari,"South Indian, North Indian, Chinese, Biryani",400.0,3.9
Bangalore Agarwal Bhavan,Jayanagar,"Street Food, North Indian, South Indian",400.0,3.9
Waffle-A-Go Go,Banashankari,"Fast Food, Desserts, Ice Cream",400.0,3.9
Anand Sweets and Savouries,Jayanagar,"Mithai, Street Food",400.0,3.9
Polar Bear,Banashankari,"Ice Cream, Desserts, Beverages, Sandwich",400.0,3.9
New Prashanth Hotel,Basavanagudi,South Indian,400.0,3.9
Kitchens@JP Nagar,Jp Nagar,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",400.0,3.9
Kanteen The Eatery,Bannerghatta Road,North Indian,400.0,3.9
Andhra Kitchen,Bannerghatta Road,"Andhra, Biryani",400.0,3.9
Swathi Restaurant,Jp Nagar,"Andhra, North Indian, Chinese",400.0,3.9
Madeena Hotel,Bannerghatta Road,"North Indian, Mughlai, Biryani",400.0,3.9
KFC,Jp Nagar,"Burger, Fast Food",400.0,3.9
Cold Stone Creamery,Bannerghatta Road,"Ice Cream, Desserts",400.0,3.9
Chokha Chowka,Btm,"North Indian, Chinese",400.0,3.9
The Hunger Room,Jp Nagar,"Continental, Sandwich, Burger, Italian, Salad, Pizza",400.0,3.9
Deejas Kitchen,Bannerghatta Road,"South Indian, Kerala",400.0,3.9
Funky Punjab,Btm,"North Indian, Chinese",400.0,3.9
Mahek Pizza,Jp Nagar,Pizza,400.0,3.9
World of Waffles,Jp Nagar,Desserts,400.0,3.9
The Chocolate Room,Jp Nagar,"Cafe, Desserts",400.0,3.9
Rara Avis,Jp Nagar,"Kerala, Seafood, Biryani, Desserts",400.0,3.9
Kamat Swaad,Jp Nagar,"South Indian, North Indian, Chinese",400.0,3.9
Polar Bear,Bannerghatta Road,"Ice Cream, Desserts, Beverages, Sandwich",400.0,3.9
Keventers,Jayanagar,"Desserts, Beverages, Ice Cream",400.0,3.9
XO Belgian Waffle,Basavanagudi,"Desserts, Beverages",400.0,3.9
Kanti Sweets,Jayanagar,"Mithai, Street Food",400.0,3.9
Mug N Bean,Jayanagar,"Cafe, Continental, Italian, Burger",400.0,3.9
Mecaf Family Restaurant,Btm,"North Indian, Chinese, Fast Food",400.0,3.9
Drunken Monkey,Jayanagar,"Beverages, Fast Food",400.0,3.9
Amma's Pastries,Basavanagudi,Bakery,400.0,3.9
Domino's Pizza,Basavanagudi,"Pizza, Fast Food",400.0,3.9
Polar Bear,Basavanagudi,"Desserts, Ice Cream, Beverages, Sandwich",400.0,3.9
Puro Gusto,Bellandur,Cafe,400.0,3.9
Bonfooder,Sarjapur Road,North Indian,400.0,3.9
SGS Non Veg - Gundu Pulav,St. Marks Road,"Biryani, Fast Food",400.0,3.9
Kanti Sweets,Brigade Road,"Mithai, Street Food",400.0,3.9
Firewood Biryani,Residency Road,"Biryani, Kebab, Rolls",400.0,3.9
A2B - Adyar Ananda Bhavan,Shanti Nagar,"South Indian, Fast Food, Street Food",400.0,3.9
Gowdru Hotel,Indiranagar,"South Indian, Biryani",400.0,3.9
Whitefield Baking Company - Bengaluru Marriott Hotel...,Whitefield,"Bakery, Cafe",400.0,3.9
Chatpata India,Whitefield,North Indian,400.0,3.9
California Burrito,Whitefield,"Mexican, Fast Food",400.0,3.9
Drunken Monkey,Marathahalli,"Beverages, Fast Food",400.0,3.9
Sri Udupi Park,Brookefield,"South Indian, North Indian, Chinese",400.0,3.9
Shri Madhuram,Hsr,"South Indian, North Indian",400.0,3.9
Hotel Manu,Hsr,"South Indian, Kerala, Chinese, North Indian",400.0,3.9
Kitchens@BTM,Btm,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",400.0,3.9
Madeena Hotel,Hsr,"North Indian, Mughlai, Biryani",400.0,3.9
Bubble Bee,Hsr,"Beverages, Bubble Tea, Desserts",400.0,3.9
Min Mini Punjabi Dhaba,Koramangala 7Th Block,North Indian,400.0,3.9
Empire Restaurant,Btm,"Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages",400.0,3.9
Maa Bhook Lagi,Koramangala 4Th Block,North Indian,400.0,3.9
The Tandoori Chai,Hsr,"North Indian, Fast Food, Street Food, Beverages",400.0,3.9
What'sinaPita,Koramangala 1St Block,"Mediterranean, Middle Eastern, Wraps, Rolls",400.0,3.9
Desi Flavours,Koramangala 1St Block,"North Indian, Chinese, Biryani",400.0,3.9
Rolls & Co,Koramangala 6Th Block,"Burger, Beverages, Rolls",400.0,3.9
Khichadiwala,Hsr,North Indian,400.0,3.9
#L-81 Cafe,Hsr,"Fast Food, Beverages",400.0,3.9
Aroma Of Asia,Frazer Town,"Fast Food, Momos",400.0,3.9
Keventers,Lavelle Road,"Desserts, Beverages, Ice Cream",400.0,3.9
Domino's Pizza,Mg Road,"Pizza, Fast Food",400.0,3.9
Andhra Kitchen,Electronic City,Andhra,400.0,3.9
Marley's Bistro,Electronic City,"Continental, European, Salad, Beverages, Italian, Burger",400.0,3.9
Sitara Veg Restaurant,Electronic City,"South Indian, North Indian, Chinese",400.0,3.9
Juicemaker,Electronic City,"Beverages, Fast Food",400.0,3.9
The Breakfast Club,Electronic City,"Continental, South Indian, North Indian",400.0,3.9
Kanti Sweets,Rt Nagar,"Mithai, Street Food",400.0,3.9
Fanoos,Frazer Town,"Arabian, Rolls, North Indian, Bbq",400.0,3.9
Keventers,Commercial Street,"Desserts, Beverages, Ice Cream",400.0,3.9
Sidra Eatery,Kammanahalli,"North Indian, Continental",400.0,3.9
Anand Sweets and Savouries,Frazer Town,"Mithai, Street Food",400.0,3.9
Hunger Meals,Hsr,"South Indian, North Indian, Biryani",400.0,3.9
Om Nom Thai,South Bangalore,"Thai, Momos",400.0,3.9
Families Food Court,Hsr,"North Indian, Chinese, Biryani, Rolls",400.0,3.9
Balle-Licious Kitchen,Hsr,North Indian,400.0,3.9
Shubh Sweets,Hsr,"Street Food, Mithai, Momos",400.0,3.9
Mist n Creams,Hsr,Ice Cream,400.0,3.9
Annapoorani,Indiranagar,South Indian,400.0,3.9
Gurukrupa Paratha House,Old Airport Road,"North Indian, Chinese",400.0,3.9
Fresh Aahar,Indiranagar,"Biryani, Mangalorean, Kerala",400.0,3.9
KFC,Old Airport Road,"Burger, Fast Food",400.0,3.9
Chef's Cap Chinese Cuisine Restaurant,Old Airport Road,Chinese,400.0,3.9
Wow Paratha,Jeevan Bhima Nagar,North Indian,400.0,3.9
Drunken Monkey,Indiranagar,"Beverages, Fast Food",400.0,3.9
The Table,Indiranagar,"Bakery, Desserts",400.0,3.9
Kabab Magic,Richmond Road,"North Indian, Kebab, Chinese, Fast Food",400.0,3.9
Moonlight Kitchens,Old Airport Road,"North Indian, Chinese",400.0,3.9
California Burrito,Cv Raman Nagar,"Mexican, Fast Food",400.0,3.9
Biriyani Mane,Jayanagar,"North Indian, Biryani",400.0,3.9
Maa'r Rannaghor,Jp Nagar,"Bengali, Chinese",400.0,3.9
Roll N Rock,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls",400.0,3.9
Keventers,Jp Nagar,"Desserts, Beverages, Ice Cream",400.0,3.9
Kuttanad Restaurant,Nagawara,"Kerala, North Indian",400.0,3.9
Big Chicken,Kammanahalli,Fast Food,400.0,3.9
Frozen Bottle,Kalyan Nagar,"Beverages, Desserts, Ice Cream",400.0,3.9
Meghana Biriyanis,Nagawara,"Andhra, Biryani, South Indian, Chinese",400.0,3.9
Kanthari,Kalyan Nagar,"North Indian, Kerala, Chinese",400.0,3.9
Wok N Roll,Nagawara,"Chinese, Momos",400.0,3.9
Amma's Pastries,Hbr Layout,Bakery,400.0,3.9
Suvarna Sree Food Paradise,Banaswadi,"South Indian, Chinese, North Indian, Biryani",400.0,3.9
Punjabites,Hsr,"North Indian, Charcoal Chicken",400.0,3.9
WOW! Momo,Koramangala 4Th Block,"Tibetan, Momos",400.0,3.9
Crown Gold,Koramangala 4Th Block,"South Indian, Chinese, Seafood",400.0,3.9
Juicemaker,Koramangala 8Th Block,"Beverages, Fast Food",400.0,3.9
Kanti Sweets,Koramangala 3Rd Block,"Mithai, Street Food",400.0,3.9
Tharavadu,Hsr,"Chinese, North Indian, Kerala",400.0,3.9
Beijing Bites,Btm,"Chinese, Thai, Momos",400.0,3.9
WAFL CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Residency Road,"Desserts, Beverages, American",400.0,3.9
WAFL CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Residency Road,"Desserts, Beverages, American",400.0,3.9
TLP Cafe,Malleshwaram,"Cafe, Italian",400.0,3.9
Nature's Caff,Sadashiv Nagar,"Continental, Italian, Cafe",400.0,3.9
WOW! Momo,Malleshwaram,"Tibetan, Momos",400.0,3.9
Polar Bear,Rajajinagar,"Desserts, Ice Cream, Beverages, Sandwich",400.0,3.9
Keventers,New Bel Road,"Desserts, Beverages, Ice Cream",400.0,3.9
New Fishland,Malleshwaram,"Seafood, Chinese, North Indian, South Indian",400.0,3.9
Kanti Sweets,Malleshwaram,"Mithai, Street Food",400.0,3.9
